Time,RecordID,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4
1888,321015,0.5,-0.37,0.52,0,0,0,-0.46,0.31,0.43,-0.3,-0.13,0.28
1891,321016,0.57,0.11,-0.01,0,0,0,-0.6,-0.18,0.24,-0.07,-0.1,0.23
1893,321017,-0.42,-0.03,0.19,0,0,0,-0.44,-0.18,0.34,0.09,0.05,0.19
1947,321019,0.19,-0.1,-0.13,0,0,0,-0.13,0.05,-0.23,-0.02,0.06,0.06
1948,321020,0.29,0.05,0.24,0,0,0,0.04,-0.06,0,-0.18,0.09,-0.17
1950,321021,0,-0.27,0.15,0,0,0,-0.39,-0.08,0.13,0.07,-0.03,0.03
1954,321022,-0.2,0.05,-0.01,0,0,0,-0.18,-0.19,0.36,0.4,0.26,0
1957,321023,-0.29,0.08,-0.07,0,0,0,0.04,-0.1,0.25,-0.28,0.2,0.02
1959,321024,0.1,0.03,0.13,0,0,0,0.01,0.04,0.12,0.09,0.34,-0.04
1961,321025,0.16,0.1,-0.03,0,0,0,0,-0.01,0,0.02,0.25,-0.16
1964,321026,0.11,0.02,0.07,0,0,0,-0.1,-0.15,-0.14,-0.01,0.1,-0.21
1967,321027,-0.16,-0.18,-0.15,0,0,0,-0.05,0.09,0.11,0.22,-0.1,-0.4
1970,321028,0.25,-0.18,-0.06,0,0,0,0.22,-0.03,-0.24,-0.04,-0.15,-0.25
2020,321029,-0.01,-0.29,-0.3,0,0,0,0.08,0.23,-0.23,-0.09,0,0.44
2022,321030,-0.19,-0.42,0.2,0,0,0,-0.33,0.08,0.02,0.31,0.03,0.43
2024,321031,-0.16,0.1,0.4,0,0,0,0.09,0.11,0.24,-0.37,0.44,0.66
2027,321032,0.52,-0.13,0.27,0,0,0,0.05,0.14,0.11,-0.53,0.23,0.5
2029,321033,0.24,-0.14,0.26,0,0,0,-0.58,-0.02,-0.06,-0.04,0.1,0.29
2033,321034,0.13,-0.18,0.15,0,0,0,-0.14,0.01,-0.2,0.45,-0.25,-0.18
2035,321035,-0.8,-0.25,-0.36,0,0,0,0.14,0.05,-0.38,0.09,-0.31,0.09
2038,321036,-0.1,-0.11,-0.31,0,0,0,0.19,0.02,-0.41,0.32,-0.24,-0.51
2040,321037,0.06,0.01,-0.08,0,0,0,0.15,-0.04,-0.2,-0.15,0.02,-0.16
